id,job_title,company_name,location,salary,skills,job_description,posted_date,job_type,url,extracted_skills
11,Marketing Executive,Unilever Vietnam,TP.HCM,12-18 triệu VND,"Ứng viên cần thành thạo các công cụ digital marketing như Google Ads, Facebook Business Manager. Yêu cầu kỹ năng thiết kế cơ bản trên Photoshop, Canva và khả năng phân tích dữ liệu trên Google Analytics. Ưu tiên có kinh nghiệm content marketing và SEO.","Lập kế hoạch và triển khai chiến dịch marketing tích hợp, quản lý ngân sách marketing, phối hợp với các phòng ban khác để đảm bảo message consistency. Theo dõi và đánh giá hiệu quả campaigns.",2024-12-15,Full-time,https://careers.unilever.com.vn/marketing-executive-001,"['marketing', 'photoshop', 'content marketing', 'seo', 'canva', 'google ads']"
12,Sales Manager,Vinamilk,Hà Nội,20-30 triệu VND,"Cần có kinh nghiệm quản lý team sales tối thiểu 3 năm, thành thạo CRM và các kỹ năng đàm phán. Yêu cầu kỹ năng thuyết trình xuất sắc, khả năng phân tích thị trường và lập kế hoạch bán hàng. Ưu tiên có bằng lái xe và sẵn sàng đi công tác.","Quản lý và phát triển đội ngũ sales, xây dựng chiến lược bán hàng, duy trì mối quan hệ với khách hàng lớn. Đạt target doanh số được giao và mở rộng thị trường mới.",2024-12-14,Full-time,https://careers.vinamilk.com.vn/sales-manager-hn,"['sales', 'crm']"
13,Digital Marketing Specialist,Sendo,TP.HCM,15-22 triệu VND,"Thành thạo Google Ads, Facebook Ads, TikTok Ads. Có kinh nghiệm với các tool như Google Analytics, GTM, Hotjar. Biết cách optimize conversion rate và có hiểu biết về A/B testing. Kỹ năng viết content và basic design là một lợi thế.","Quản lý và optimize các chiến dịch quảng cáo trực tuyến, phân tích performance data, thực hiện A/B testing để cải thiện CTR và conversion. Phối hợp với content team để tạo ra creative materials hiệu quả.",2024-12-13,Full-time,https://careers.sendo.vn/digital-marketing-specialist,"['facebook ads', 'google ads']"
14,Business Development Representative,FPT Software,Đà Nẵng,10-15 triệu VND,"Yêu cầu tiếng Anh tốt, có khả năng cold calling và email marketing. Thành thạo LinkedIn Sales Navigator, CRM systems. Cần có kỹ năng research và prospecting. Không yêu cầu kinh nghiệm, công ty sẽ đào tạo đầy đủ.","Tìm kiếm và phát triển khách hàng tiềm năng, thực hiện cold outreach, qualify leads và book meetings cho sales team. Maintain database và theo dõi pipeline development.",2024-12-12,Full-time,https://careers.fpt-software.com/bdr-danang,"['sales', 'marketing', 'crm']"
15,Content Marketing Manager,Shopee,TP.HCM,18-28 triệu VND,"Có kinh nghiệm content strategy và content creation. Thành thạo các công cụ như Hootsuite, Buffer, Adobe Creative Suite. Hiểu biết về SEO, social media algorithms và influencer marketing. Kỹ năng viết sáng tạo và khả năng làm việc với video content.","Phát triển content strategy cho các channels, quản lý content calendar, collaborate với designer và video team. Theo dõi engagement metrics và optimize content performance based on data insights.",2024-12-11,Full-time,https://careers.shopee.vn/content-marketing-manager,"['adobe creative suite', 'seo', 'marketing']"
16,Accountant,Deloitte Vietnam,Hà Nội,12-18 triệu VND,"Tốt nghiệp chuyên ngành Kế toán/Tài chính, thành thạo Excel và các phần mềm kế toán như MISA, Fast. Hiểu biết về thuế VAT, thuế TNCN và các quy định pháp luật kế toán Việt Nam. Ưu tiên có chứng chỉ CPA hoặc ACCA.","Thực hiện các công việc kế toán tổng hợp, lập báo cáo tài chính, kê khai thuế hàng tháng/quý. Kiểm soát chi phí và hỗ trợ audit. Đảm bảo tuân thủ các quy định pháp luật hiện hành.",2024-12-10,Full-time,https://careers.deloitte.com.vn/accountant-hanoi,['excel']
17,Financial Analyst,Techcombank,TP.HCM,15-25 triệu VND,"Yêu cầu thành thạo Excel advanced, PowerBI và các công cụ phân tích tài chính. Có kinh nghiệm với financial modeling, budgeting & forecasting. Hiểu biết về banking products và risk management. Kỹ năng thuyết trình và làm việc nhóm tốt.","Phân tích performance tài chính, lập budget và forecast, đánh giá investment opportunities. Chuẩn bị báo cáo cho management và support trong việc ra quyết định chiến lược.",2024-12-09,Full-time,https://careers.techcombank.com.vn/financial-analyst,"['forecasting', 'risk management', 'excel', 'budgeting', 'financial modeling']"
18,Tax Specialist,EY Vietnam,Hà Nội,18-30 triệu VND,"Có kinh nghiệm về thuế doanh nghiệp, thuế giá trị gia tăng, thuế chuyển nhượng. Thành thạo các phần mềm kê khai thuế điện tử, Excel advanced. Hiểu biết về tax planning và compliance. Ưu tiên có chứng chỉ CPA hoặc tax practitioner.","Tư vấn thuế cho khách hàng, review tax returns, thực hiện tax planning strategies. Nghiên cứu và cập nhật các thay đổi trong luật thuế. Hỗ trợ clients trong tax audits và disputes.",2024-12-08,Full-time,https://careers.ey.com/vn/tax-specialist,"['compliance', 'excel']"
19,HR Generalist,Samsung Vietnam,Bắc Ninh,12-20 triệu VND,"Tốt nghiệp chuyên ngành Nhân sự/Tâm lý/Luật lao động. Thành thạo MS Office, đặc biệt Excel. Có kinh nghiệm với HRIS systems và recruitment tools. Kỹ năng giao tiếp tốt, khả năng tổ chức và training. Ưu tiên biết tiếng Anh hoặc tiếng Hàn.","Thực hiện toàn bộ quy trình tuyển dụng, onboarding nhân viên mới, quản lý hồ sơ nhân sự. Xử lý các vấn đề employee relations, organize training programs và support performance management.",2024-12-07,Full-time,https://careers.samsung.com/vn/hr-generalist-bacninh,"['training', 'recruitment', 'hris', 'excel']"
20,Talent Acquisition Specialist,Grab,TP.HCM,15-25 triệu VND,"Có kinh nghiệm recruitment, đặc biệt là tech hiring. Thành thạo LinkedIn Recruiter, các job boards và Boolean search. Kỹ năng interview và assessment. Hiểu biết về employment law và diversity hiring. Tiếng Anh tốt là bắt buộc.","Source và screen candidates, conduct initial interviews, coordinate với hiring managers. Build talent pipeline và maintain candidate database. Improve recruitment process và employer branding initiatives.",2024-12-06,Full-time,https://careers.grab.com/talent-acquisition-hcm,"['recruitment', 'branding']"
21,English Teacher,VUS (Văn hóa Anh),TP.HCM,18-30 triệu VND,"Bằng cử nhân tiếng Anh hoặc chuyên ngành liên quan. Có chứng chỉ TESOL/TEFL/CELTA. Kỹ năng sử dụng technology trong giảng dạy, classroom management. Personality năng động, khả năng inspire học sinh. Native speaker được ưu tiên.","Giảng dạy tiếng Anh theo curriculum của trung tâm, chuẩn bị lesson plans và materials. Đánh giá progress của học sinh và provide feedback. Tham gia các activities và events của trung tâm.",2024-12-05,Full-time,https://careers.vus.edu.vn/english-teacher-hcm,[]
22,Training Manager,Vingroup,Hà Nội,20-35 triệu VND,"Có kinh nghiệm training & development tối thiểu 5 năm. Thành thạo LMS platforms, e-learning tools và instructional design. Kỹ năng public speaking, curriculum development. Hiểu biết về adult learning theories và change management.","Thiết kế và triển khai training programs, quản lý training budget, đánh giá effectiveness của training. Develop internal trainers và build learning culture trong organization.",2024-12-04,Full-time,https://careers.vingroup.net/training-manager,"['training', 'public speaking']"
23,Registered Nurse,Vinmec Hospital,Hà Nội,15-25 triệu VND,"Bằng cử nhân Điều dưỡng, có chứng chỉ hành nghề. Kỹ năng chăm sóc bệnh nhân, sử dụng thiết bị y tế cơ bản. Khả năng làm việc ca đêm và high-pressure environment. Tiếng Anh y khoa cơ bản. Tính kiên nhẫn và empathy cao.","Chăm sóc bệnh nhân theo chỉ định bác sĩ, monitor vital signs, administrate medications. Educate patients và families về treatment plans. Maintain medical records và ensure infection control protocols.",2024-12-03,Full-time,https://careers.vinmec.com/registered-nurse-hanoi,[]
24,Pharmacist,Guardian Pharmacy,TP.HCM,12-18 triệu VND,"Bằng cử nhân Dược, có chứng chỉ hành nghề Dược sĩ. Hiểu biết về drug interactions, dosages và pharmaceutical care. Kỹ năng tư vấn khách hàng, inventory management. Thành thạo hệ thống POS và pharmacy software.","Dispensing medications theo đơn thuốc, tư vấn khách hàng về proper usage. Quản lý kho thuốc, check expiry dates và maintain inventory. Ensure compliance với pharmacy regulations.",2024-12-02,Full-time,https://careers.guardian.com.vn/pharmacist-hcm,"['inventory management', 'compliance']"
25,Mechanical Engineer,Thaco,Quảng Nam,15-25 triệu VND,"Tốt nghiệp chuyên ngành Cơ khí, thành thạo AutoCAD, SolidWorks, Inventor. Có kinh nghiệm với manufacturing processes, quality control và lean manufacturing. Kỹ năng problem-solving và project management. Sẵn sàng làm việc trong môi trường nhà máy.","Thiết kế và develop mechanical systems, troubleshoot equipment issues, improve manufacturing processes. Collaborate với production team để optimize efficiency và quality. Maintain technical documentation.",2024-12-01,Full-time,https://careers.thaco.com.vn/mechanical-engineer,"['lean manufacturing', 'autocad', 'solidworks', 'project management']"
26,Civil Engineer,Coteccons,TP.HCM,18-28 triệu VND,"Bằng cử nhân Xây dựng, có chứng chỉ hành nghề. Thành thạo AutoCAD, Revit, MS Project. Hiểu biết về construction codes, safety regulations. Kỹ năng site management, cost estimation. Có thể đi công tác các tỉnh và làm việc outdoor.","Quản lý construction projects từ design đến completion, ensure compliance với building codes. Coordinate với contractors, suppliers và regulatory bodies. Monitor project progress và quality control.",2024-11-30,Full-time,https://careers.coteccons.vn/civil-engineer-hcm,"['autocad', 'compliance', 'ms project', 'revit']"
27,Customer Service Representative,Viettel,Hà Nội,8-12 triệu VND,"Tốt nghiệp THPT trở lên, có kỹ năng giao tiếp tốt và kiên nhẫn. Thành thạo máy tính cơ bản, CRM systems. Khả năng xử lý complaints và multitasking. Tiếng Anh cơ bản. Sẵn sàng làm việc theo ca và cuối tuần.","Tiếp nhận và xử lý customer inquiries qua phone, email, chat. Resolve complaints, provide product information và technical support. Maintain customer database và escalate complex issues khi cần thiết.",2024-11-29,Full-time,https://careers.viettel.vn/customer-service-rep,['crm']
28,Call Center Agent,VNPT,TP.HCM,7-10 triệu VND,"Không yêu cầu kinh nghiệm, công ty đào tạo đầy đủ. Cần có voice tốt, pronunciation rõ ràng. Kỹ năng nghe và ghi nhớ thông tin. Khả năng handle stress và customer pressure. Sẵn sàng làm việc shifts và OT khi cần.","Thực hiện cuộc gọi outbound để marketing products/services, conduct surveys, follow up customers. Achieve daily call targets và maintain call quality standards. Update customer information trong system.",2024-11-28,Full-time,https://careers.vnpt.vn/call-center-agent,['marketing']
29,Logistics Coordinator,Ninja Van,TP.HCM,12-18 triệu VND,"Có kinh nghiệm logistics hoặc supply chain. Thành thạo Excel, WMS systems và tracking software. Kỹ năng coordination, planning và problem-solving. Hiểu biết về shipping regulations và customs procedures. Tiếng Anh giao tiếp tốt.","Coordinate shipments, track deliveries, liaise với carriers và customers. Optimize routes để reduce costs và improve delivery times. Handle documentation và resolve shipping issues promptly.",2024-11-27,Full-time,https://careers.ninjavan.co/logistics-coordinator,"['supply chain', 'logistics', 'excel']"
30,Supply Chain Analyst,Unilever,TP.HCM,15-22 triệu VND,"Tốt nghiệp chuyên ngành Logistics/Supply Chain/Industrial Engineering. Thành thạo Excel advanced, SQL cơ bản, Power BI. Có kinh nghiệm với demand planning, inventory management. Kỹ năng analytical thinking và data visualization.","Analyze supply chain performance, identify bottlenecks và improvement opportunities. Monitor inventory levels, demand patterns. Prepare reports cho management và support decision making process.",2024-11-26,Full-time,https://careers.unilever.com.vn/supply-chain-analyst,"['data visualization', 'supply chain', 'power bi', 'excel', 'inventory management', 'logistics', 'sql']"
31,Restaurant Manager,Highlands Coffee,Hà Nội,15-25 triệu VND,"Có kinh nghiệm quản lý F&B tối thiểu 3 năm. Kỹ năng leadership, staff management, customer service. Hiểu biết về food safety, inventory control, POS systems. Khả năng work under pressure, flexible schedule. Passion cho hospitality industry.","Quản lý daily operations, ensure service quality và customer satisfaction. Train và develop staff, manage schedules, control costs. Maintain hygiene standards và compliance với health regulations.",2024-11-25,Full-time,https://careers.highlands.vn/restaurant-manager,"['compliance', 'leadership', 'customer service']"
32,Head Chef,Golden Dragon Water Puppet Theater,TP.HCM,20-35 triệu VND,"Tốt nghiệp chuyên ngành Bếp/Culinary Arts, có kinh nghiệm làm bếp trưởng. Thành thạo Vietnamese cuisine, menu development, cost control. Kỹ năng leadership, kitchen management, food safety. Creativity và passion cho Vietnamese culture.","Develop menu items, manage kitchen operations, ensure food quality và presentation. Train junior chefs, control food costs, maintain kitchen hygiene. Innovate traditional dishes để attract international guests.",2024-11-24,Full-time,https://careers.goldendragon.vn/head-chef,"['presentation', 'leadership']"
33,Store Manager,Saigon Co.op,TP.HCM,12-20 triệu VND,"Có kinh nghiệm retail management, customer service skills. Thành thạo POS systems, inventory management software. Kỹ năng leadership, sales techniques, visual merchandising. Khả năng work weekends và holidays. Strong communication skills.","Manage store operations, supervise staff, ensure sales targets. Handle customer complaints, maintain store appearance, manage inventory. Implement promotional campaigns và analyze sales performance.",2024-11-23,Full-time,https://careers.saigoncoop.com.vn/store-manager,"['sales', 'leadership', 'customer service', 'inventory management', 'communication']"
34,Sales Associate,Thế Giới Di Động,Đà Nẵng,8-15 triệu VND,"Tốt nghiệp THPT, có kinh nghiệm bán hàng là lợi thế. Kỹ năng giao tiếp, thuyết phục khách hàng. Hiểu biết về mobile devices, technology products. Enthusiasm, friendly personality. Sẵn sàng đi làm cuối tuần và ngày lễ.","Tư vấn và bán products cho customers, demonstrate product features, handle transactions. Maintain product displays, achieve sales quotas. Provide after-sales support và build customer relationships.",2024-11-22,Full-time,https://careers.thegioididong.com/sales-associate-danang,['sales']
35,Data Analyst,Vietcombank,Hà Nội,15-25 triệu VND,"Tốt nghiệp chuyên ngành Toán/Thống kê/Kinh tế. Có kinh nghiệm với Excel advanced, SQL cơ bản và Power BI. Kỹ năng phân tích số liệu, tạo báo cáo. Hiểu biết về banking operations và financial analysis là một lợi thế lớn.","Phân tích dữ liệu khách hàng và business performance, tạo dashboard và reports định kỳ. Support management trong việc ra quyết định thông qua data insights. Collaborate với IT team để improve data quality.",2024-11-21,Full-time,https://careers.vietcombank.com.vn/data-analyst,"['power bi', 'sql', 'excel']"
36,Business Intelligence Analyst,Masan Group,TP.HCM,18-30 triệu VND,"Có background về business analysis, data visualization. Thành thạo Tableau, Power BI, SQL và Excel advanced. Kỹ năng storytelling với data, presentation skills. Hiểu biết về retail/FMCG industry. Analytical mindset và attention to detail.","Develop và maintain BI dashboards, analyze business trends, create executive reports. Work với cross-functional teams để identify opportunities for improvement. Automate reporting processes và ensure data accuracy.",2024-11-20,Full-time,https://careers.masan.com.vn/bi-analyst,"['storytelling', 'presentation skills', 'presentation', 'data visualization', 'power bi', 'excel', 'tableau', 'sql']"
37,IT Support Specialist,FPT Corporation,Hà Nội,10-15 triệu VND,"Tốt nghiệp chuyên ngành CNTT hoặc có chứng chỉ liên quan. Có kinh nghiệm troubleshooting hardware/software issues. Thành thạo Windows, Office 365, basic networking. Kỹ năng customer service, patience. Sẵn sàng on-call support.","Provide technical support cho end-users, troubleshoot IT issues, maintain computer systems. Install và configure software/hardware, manage user accounts. Document solutions và create user guides.",2024-11-19,Full-time,https://careers.fpt.com.vn/it-support-specialist,['customer service']
38,System Administrator,Vingroup Technology,Hà Nội,18-28 triệu VND,"Có kinh nghiệm system administration, server management. Thành thạo Windows Server, Linux, virtualization technologies. Hiểu biết về network security, backup solutions. Kỹ năng scripting (PowerShell, Bash) là lợi thế. Certification như MCSA, RHCE được ưu tiên.","Manage servers và network infrastructure, implement security measures, perform system backups. Monitor system performance, troubleshoot issues, plan capacity. Ensure system availability và disaster recovery procedures.",2024-11-18,Full-time,https://careers.vingroup.net/system-administrator,[]
39,Graphic Designer,Ogilvy Vietnam,TP.HCM,12-20 triệu VND,"Tốt nghiệp chuyên ngành Mỹ thuật/Thiết kế. Thành thạo Adobe Creative Suite (Photoshop, Illustrator, InDesign), Figma. Có portfolio strong và creative thinking. Hiểu biết về branding, typography, color theory. Khả năng work under tight deadlines.","Create visual designs cho advertising campaigns, develop brand identity, design marketing materials. Collaborate với creative team và clients. Present design concepts và incorporate feedback. Stay updated với design trends.",2024-11-17,Full-time,https://careers.ogilvy.com.vn/graphic-designer,"['branding', 'illustrator', 'figma', 'indesign', 'adobe creative suite', 'photoshop', 'typography', 'marketing']"
40,Video Editor,Yeah1 Group,TP.HCM,15-25 triệu VND,"Có kinh nghiệm video editing, motion graphics. Thành thạo Adobe Premiere Pro, After Effects, DaVinci Resolve. Hiểu biết về video production workflow, color grading, audio editing. Creativity và storytelling skills. Passion cho digital content creation.","Edit video content cho social media platforms, create motion graphics, color correction. Collaborate với content creators và producers. Optimize videos cho different platforms và audiences. Maintain video assets library.",2024-11-16,Full-time,https://careers.yeah1.com/video-editor,"['storytelling', 'after effects', 'premiere pro', 'motion graphics', 'video editing']"
41,Operations Manager,Lazada,TP.HCM,25-40 triệu VND,"Có kinh nghiệm operations management trong e-commerce hoặc logistics. Kỹ năng process improvement, project management, team leadership. Thành thạo data analysis tools, Excel advanced. Strong problem-solving skills và ability to work in fast-paced environment.","Optimize operational processes, manage warehouse operations, coordinate với logistics partners. Analyze performance metrics, implement improvements. Lead cross-functional projects để enhance efficiency và customer satisfaction.",2024-11-15,Full-time,https://careers.lazada.com/operations-manager,"['project management', 'leadership', 'logistics', 'excel']"
42,Quality Assurance Specialist,Nestle Vietnam,Đồng Nai,12-18 triệu VND,"Tốt nghiệp chuyên ngành Công nghệ Thực phẩm/Hóa học. Có kinh nghiệm QA/QC trong food manufacturing. Hiểu biết về HACCP, ISO standards, food safety regulations. Attention to detail, analytical skills. Sẵn sàng làm việc shifts trong factory environment.","Conduct quality inspections, test products according to specifications, maintain quality documentation. Investigate quality issues, implement corrective actions. Ensure compliance với food safety standards và regulations.",2024-11-14,Full-time,https://careers.nestle.com.vn/qa-specialist,"['compliance', 'qa', 'qc']"
43,Legal Assistant,Baker McKenzie,TP.HCM,12-18 triệu VND,"Tốt nghiệp chuyên ngành Luật, có kinh nghiệm legal support. Thành thạo legal research, document preparation. Kỹ năng viết legal documents, contract review. Tiếng Anh pháp lý tốt. Attention to detail và confidentiality awareness.","Assist lawyers với case preparation, conduct legal research, draft legal documents. Manage case files, schedule appointments, communicate với clients. Maintain legal databases và ensure compliance với filing requirements.",2024-11-13,Full-time,https://careers.bakermckenzie.com/legal-assistant,"['legal research', 'compliance']"
44,Compliance Officer,HSBC Vietnam,Hà Nội,20-30 triệu VND,"Có kinh nghiệm compliance trong banking/finance. Hiểu biết về regulatory requirements, AML/CFT regulations. Kỹ năng risk assessment, audit support. Strong analytical skills, attention to detail. Professional certification như CAMS là lợi thế.","Monitor compliance với regulatory requirements, conduct compliance reviews, investigate potential violations. Develop compliance policies, provide training to staff. Liaise với regulators và prepare compliance reports.",2024-11-12,Full-time,https://careers.hsbc.com.vn/compliance-officer,"['compliance', 'training']"
45,Administrative Assistant,Microsoft Vietnam,Hà Nội,10-15 triệu VND,"Tốt nghiệp đại học, có kinh nghiệm administrative support. Thành thạo MS Office Suite, email management, calendar scheduling. Kỹ năng organization, multitasking, communication. Tiếng Anh tốt, professional demeanor. Discretion với confidential information.","Provide administrative support cho executives, manage schedules, organize meetings. Handle correspondence, maintain files, coordinate travel arrangements. Assist với special projects và office management tasks.",2024-11-11,Full-time,https://careers.microsoft.com/vn/admin-assistant,"['office management', 'communication', 'administrative support']"
46,Office Manager,Google Vietnam,TP.HCM,15-25 triệu VND,"Có kinh nghiệm office management, facility management. Kỹ năng vendor management, budget control, event planning. Thành thạo office software, project coordination. Leadership skills, problem-solving ability. Flexibility để handle diverse responsibilities.","Manage office operations, oversee facility maintenance, coordinate với vendors. Plan company events, manage office supplies, ensure smooth daily operations. Support HR với onboarding processes và employee engagement activities.",2024-11-10,Full-time,https://careers.google.com/vn/office-manager,"['office management', 'vendor management', 'event planning', 'leadership']"
47,Production Supervisor,Honda Vietnam,Vĩnh Phúc,18-28 triệu VND,"Có kinh nghiệm production management trong automotive industry. Hiểu biết về lean manufacturing, 5S, quality control. Kỹ năng leadership, staff management, safety management. Sẵn sàng làm việc shifts, handle pressure. Japanese language skills là lợi thế.","Supervise production lines, ensure quality standards, manage production schedules. Train production workers, implement safety procedures. Monitor productivity metrics, coordinate với quality và maintenance teams.",2024-11-09,Full-time,https://careers.honda.com.vn/production-supervisor,"['lean manufacturing', '5s', 'leadership', 'safety management']"
48,Quality Control Inspector,Canon Vietnam,Bắc Ninh,12-18 triệu VND,"Tốt nghiệp chuyên ngành Cơ khí/Điện tử. Có kinh nghiệm QC trong electronics manufacturing. Hiểu biết về measurement tools, testing procedures. Attention to detail, analytical skills. Khả năng đọc technical drawings, work với precision instruments.","Inspect products according to quality standards, perform testing procedures, document inspection results. Identify defects, recommend corrective actions. Maintain inspection equipment, ensure compliance với quality specifications.",2024-11-08,Full-time,https://careers.canon.com.vn/qc-inspector,"['compliance', 'qc']"
